epoch,learning_rate,loss,val_char_acc,val_loss,val_str_acc
0,0.0010000000474974513,18.735923767089844,0.0,14.101726531982422,0.0
1,0.0010000000474974513,14.070283889770508,0.0,14.12022876739502,0.0
2,0.0010000000474974513,13.916677474975586,0.0,14.072345733642578,0.0
3,0.0010000000474974513,13.219569206237793,0.0,15.071462631225586,0.0
4,0.0010000000474974513,11.194189071655273,0.0,21.01529884338379,0.0
5,0.0010000000474974513,8.546438217163086,0.0,25.953567504882812,0.0
6,0.0010000000474974513,5.578044414520264,0.0,27.629335403442383,0.0
7,0.0010000000474974513,2.842816114425659,0.0,32.82286834716797,0.0
8,0.0010000000474974513,1.7001464366912842,0.09057971014492754,14.809033393859863,0.0
9,0.0010000000474974513,1.1706247329711914,0.10507246376811594,30.81486701965332,0.0
10,0.0010000000474974513,0.7943231463432312,0.17391304347826086,20.134700775146484,0.0
11,0.0010000000474974513,0.6713038682937622,0.6376811594202898,8.240824699401855,0.2318840579710145
12,0.0010000000474974513,0.4800710678100586,0.6594202898550725,4.417507648468018,0.2753623188405797
13,0.0010000000474974513,0.4426298439502716,0.9311594202898551,0.7102345824241638,0.8405797101449275
14,0.0010000000474974513,0.4908818006515503,0.8623188405797102,2.102992057800293,0.6666666666666666
15,0.0010000000474974513,0.4972386062145233,0.894927536231884,1.2396751642227173,0.7391304347826086
16,0.0010000000474974513,0.4262644648551941,0.8695652173913043,1.0623527765274048,0.782608695652174
17,0.0010000000474974513,0.3264073431491852,0.9311594202898551,0.8582269549369812,0.8405797101449275
18,0.0010000000474974513,0.34070873260498047,0.8731884057971014,1.509581446647644,0.7101449275362319
19,0.0010000000474974513,0.41689425706863403,0.8297101449275363,1.4865164756774902,0.6086956521739131
20,0.0010000000474974513,0.3104943335056305,0.8913043478260869,1.5858180522918701,0.6811594202898551
21,0.0010000000474974513,0.19530566036701202,0.9565217391304348,0.780135989189148,0.8985507246376812
22,0.0010000000474974513,0.26893773674964905,0.9130434782608695,0.9566976428031921,0.7536231884057971
23,0.0010000000474974513,0.21278467774391174,0.9094202898550725,1.3501193523406982,0.7246376811594203
24,0.0005000000237487257,0.16619059443473816,0.9818840579710145,0.6284635663032532,0.927536231884058
25,0.0005000000237487257,0.14311373233795166,0.9601449275362319,0.6602035760879517,0.8695652173913043
26,0.0005000000237487257,0.1320399045944214,0.9818840579710145,0.49154314398765564,0.927536231884058
27,0.0005000000237487257,0.11280913650989532,0.9094202898550725,1.1477625370025635,0.7246376811594203
28,0.0005000000237487257,0.07874232530593872,0.9601449275362319,0.4716950058937073,0.8695652173913043
29,0.0005000000237487257,0.08498799055814743,0.9601449275362319,0.4442332983016968,0.8985507246376812
30,0.0005000000237487257,0.12278946489095688,0.9420289855072463,0.7949316501617432,0.8260869565217391
31,0.0005000000237487257,0.10052528977394104,0.9782608695652174,0.6164856553077698,0.9130434782608695
32,0.0005000000237487257,0.07713644951581955,0.9601449275362319,0.6948520541191101,0.8840579710144928
33,0.0005000000237487257,0.08755866438150406,0.9782608695652174,0.5494384765625,0.927536231884058
34,0.0005000000237487257,0.059076156467199326,0.9746376811594203,0.558198869228363,0.9130434782608695
35,0.0005000000237487257,0.080802783370018,0.9601449275362319,0.4509401321411133,0.8985507246376812
36,0.0005000000237487257,0.0923081487417221,0.9637681159420289,0.5021742582321167,0.8985507246376812
37,0.0005000000237487257,0.08328543603420258,0.9601449275362319,0.6856719851493835,0.8840579710144928
38,0.0005000000237487257,0.06867659837007523,0.967391304347826,0.6017016768455505,0.9130434782608695
39,0.0005000000237487257,0.08038903027772903,0.9710144927536232,0.551284909248352,0.9130434782608695
40,0.0002500000118743628,0.055914897471666336,0.9710144927536232,0.5321444272994995,0.9130434782608695
41,0.0002500000118743628,0.05540454387664795,0.9818840579710145,0.503322958946228,0.927536231884058
42,0.0002500000118743628,0.05422775819897652,0.9710144927536232,0.4224477708339691,0.9130434782608695
43,0.0002500000118743628,0.08015112578868866,0.9746376811594203,0.4090622663497925,0.927536231884058
44,0.0002500000118743628,0.046358123421669006,0.9746376811594203,0.385490745306015,0.927536231884058
45,0.0002500000118743628,0.05494657903909683,0.9746376811594203,0.3551470935344696,0.927536231884058
46,0.0002500000118743628,0.04923677816987038,0.9637681159420289,0.4018120765686035,0.9130434782608695
47,0.0002500000118743628,0.04809858649969101,0.9710144927536232,0.40337952971458435,0.9130434782608695
48,0.0002500000118743628,0.05390508100390434,0.9565217391304348,0.5112921595573425,0.8840579710144928
49,0.0002500000118743628,0.06638620793819427,0.9818840579710145,0.40230098366737366,0.927536231884058
50,0.0002500000118743628,0.04695500060915947,0.9818840579710145,0.4724765717983246,0.927536231884058
51,0.0002500000118743628,0.05044249817728996,0.9818840579710145,0.4713214933872223,0.927536231884058
52,0.0002500000118743628,0.05048926919698715,0.9818840579710145,0.475883811712265,0.927536231884058
53,0.0002500000118743628,0.029365647584199905,0.9710144927536232,0.47755560278892517,0.9130434782608695
54,0.0002500000118743628,0.041801970452070236,0.9746376811594203,0.5247185230255127,0.9130434782608695
